OBJECTID,CRASH ID,CRASH LEVEL CODE,CRASH LEVEL,CRASH TYPE (Code),CRASH TYPE,DATE,YEAR,DAY OF MONTH,MONTH,DAY (Code),DAY OF WEEK (Code),DAY OF WEEK,TIME (Military),CASE NUMBER,LATITUDE,LONGITUDE,x,y
476115,1278751,2,Serious injury,14,Pedestrian,16/11/2024,2024,11,November,16,7,Saturday,1937,20241116193702,35.247371,-80.830292,-8997987.307,4197549.834
476174,1278810,1,fatality,23,Left turn; same roadway,15/10/2024,2024,10,October,15,3,Tuesday,1409,20241015140903,35.256055,-80.736321,-8987526.5,4198733.609
476334,1278971,2,Serious injury,15,Pedalcyclist,12/11/2024,2024,11,November,12,3,Tuesday,1713,20241112171300,35.107980,-80.767939,-8991046.2,4178565.827
476343,1278980,2,Serious injury,21,Rear end; slow or stop,18/11/2024,2024,11,November,18,2,Monday,1125,20241118112500,35.224529,-80.860540,-9001354.499,4194436.694
476928,1279565,2,Serious injury,2,Ran off road left,19/11/2024,2024,11,November,19,3,Tuesday,0543,20241119054301,35.087395,-80.992644,-9016060.253,4175765.058
476994,1279631,2,Serious injury,19,Fixed object,25/11/2024,2024,11,November,25,2,Monday,1807,20241125180701,35.060663,-80.834132,-8998414.772,4172128.993
477344,1279981,1,fatality,14,Pedestrian,20/11/2024,2024,11,November,20,4,Wednesday,2008,20241120200800,35.157253,-80.877224,-9003211.754,4185272.721
477562,1280199,2,Serious injury,1,Ran off road right,29/11/2024,2024,11,November,30,7,Saturday,0054,20241130005400,35.457106,-80.814339,-8996211.428,4226175.789
477688,1280325,2,Serious injury,27,Head On,01/12/2024,2024,12,December,1,1,Sunday,0109,20241201010902,35.319735,-80.777847,-8992149.155,4207418.135
477863,1280500,2,Serious injury,14,Pedestrian,02/12/2024,2024,12,December,2,2,Monday,1750,20241202175300,35.335687,-80.797485,-8994335.248,4209594.701
477968,1280605,2,Serious injury,27,Head On,30/11/2024,2024,12,December,1,1,Sunday,0019,20241201004700,35.118547,-80.904575,-9006256.454,4180003.833
477970,1280607,1,fatality,14,Pedestrian,01/12/2024,2024,12,December,1,1,Sunday,0212,20241201021201,35.223671,-80.853990,-9000625.357,4194319.774
477992,1280629,2,Serious injury,28,Sideswipe; same direction,02/12/2024,2024,12,December,2,2,Monday,1557,20241202155701,35.277512,-80.855620,-9000806.808,4201659.1
478643,1281280,2,Serious injury,23,Left turn; same roadway,08/12/2024,2024,12,December,8,1,Sunday,1458,20241208145801,35.096231,-80.777566,-8992117.873,4176967.187
478858,1281496,2,Serious injury,5,Overturn/rollover,08/12/2024,2024,12,December,8,1,Sunday,0715,20241208071901,35.329629,-80.783579,-8992787.238,4208768.068
478989,1281627,2,Serious injury,30,Angle,10/12/2024,2024,12,December,10,3,Tuesday,1436,20241210143603,35.088543,-80.867038,-9002077.853,4175921.236
479026,1281664,1,fatality,1,Ran off road right,07/12/2024,2024,12,December,7,7,Saturday,0952,20241207095201,35.207712,-80.852378,-9000445.91,4192145.261
479410,1282048,2,Serious injury,24,Left turn; different roadways,12/12/2024,2024,12,December,12,5,Thursday,1510,20241212151306,35.363727,-80.825664,-8997472.121,4213421.652
479702,1282340,1,fatality,2,Ran off road left,08/12/2024,2024,12,December,8,1,Sunday,0308,20241208030801,35.227944,-80.746333,-8988641.031,4194902.069
479703,1282341,1,fatality,14,Pedestrian,08/12/2024,2024,12,December,8,1,Sunday,1637,20241208163700,35.203118,-80.739648,-8987896.86,4191519.38
479712,1282350,1,fatality,14,Pedestrian,15/12/2024,2024,12,December,15,1,Sunday,0726,20241213072600,35.297478,-80.957448,-9012142.252,4204382.001
479823,1282461,1,fatality,24,Left turn; different roadways,08/12/2024,2024,12,December,8,1,Sunday,1755,20241208175500,35.164026,-80.873423,-9002788.629,4186194.959
479824,1282462,1,fatality,14,Pedestrian,09/12/2024,2024,12,December,9,2,Monday,0215,20241209021500,35.232095,-80.827181,-8997640.992,4195467.768
480458,1283096,2,Serious injury,30,Angle,20/12/2024,2024,12,December,20,6,Friday,2205,20241220220501,35.297813,-80.681408,-8981413.611,4204427.694
480960,1283598,2,Serious injury,30,Angle,19/12/2024,2024,12,December,19,5,Thursday,2017,20241219201703,35.147049,-80.926192,-9008662.848,4183883.449
480998,1283636,1,fatality,14,Pedestrian,24/12/2024,2024,12,December,24,3,Tuesday,1613,20241224161301,35.109210,-80.806663,-8995356.937,4178733.202
481189,1283827,1,fatality,23,Left turn; same roadway,19/12/2024,2024,12,December,19,5,Thursday,2054,20241219205403,35.185824,-80.875699,-9003041.992,4189163.581
481241,1283879,2,Serious injury,30,Angle,28/12/2024,2024,12,December,28,7,Saturday,0411,20241228041101,35.228155,-80.846280,-8999767.083,4194930.823
